Unnamed: 0,County,List Price,Style,Beds,Bathrooms Full,Bathrooms Half,Levels/Stories,Fireplaces Total,Basement YN,Lot Size SqFt,Year Built,Close Date,Close Price,Concessions Amt ,Subdivision/Neighborhood,Status
145,Carroll County,"$449,900 ",Other,4,2,1,3,1,Yes,12893,1988,9/21/2021,,,,
146,Anne Arundel County,"$449,900 ",Cape Cod,3,2,,3,1,Yes,8125,1942,7/29/2021,,,,
147,Montgomery County,"$449,990 ",Split Foyer,3,2,1,2,1,Yes,7461,1983,9/21/2021,,,,
148,Montgomery County,"$449,999 ",Ranch/Rambler,3,2,,2,1,Yes,6308,1958,9/21/2021,,,,
149,Howard County,"$450,000 ",Colonial,3,2,1,3,,Yes,6011,1985,9/21/2021,,,,
150,Anne Arundel County,"$450,000 ",Split Foyer,5,3,1,2,1,Yes,7182,1992,9/21/2021,,,,
151,Montgomery County,"$450,000 ",Ranch/Rambler,3,1,2,1,1,Yes,5700,1958,9/21/2021,,,,
152,Howard County,"$450,000 ",Ranch/Rambler,3,2,1,2,1,Yes,20037,1966,9/21/2021,,,,
153,Montgomery County,"$450,000 ",Cape Cod,4,3,,3,1,Yes,7128,1953,9/21/2021,,,,
154,Carroll County,"$450,000 ",Colonial,3,2,1,3,,Yes,11460,1996,9/21/2021,,,,
155,Baltimore County,"$450,000 ",Split Level,3,2,1,3,,Yes,9078,1957,9/21/2021,,,,
156,Howard County,"$450,000 ",Split Level,4,2,1,3,,Yes,15376,1959,9/21/2021,,,,
157,Howard County,"$450,000 ",Cape Cod,4,2,,3,1,Yes,33555,1953,7/30/2021,,,,
158,Montgomery County,"$450,000 ",Back-to-Back,3,2,,3,,Yes,6378,1952,7/22/2021,,,,
159,Howard County,"$450,000 ",Traditional,3,2,1,3,,Yes,42166,1800,7/30/2021,,,,
160,Anne Arundel County,"$450,000 ",Colonial,4,2,1,3,1,Yes,20325,1989,7/23/2021,,,,
161,Howard County,"$455,000 ",Split Level,3,2,1,1.5,,Yes,6900,1986,9/21/2021,,,,
162,Montgomery County,"$455,000 ",Split Level,3,1,1,3,,Yes,9665,1956,7/16/2021,,,,
163,Howard County,"$459,000 ",Transitional,4,2,1,3,,Yes,5630,1973,9/21/2021,,,,
164,Montgomery County,"$459,999 ",Cape Cod,4,2,,2,,No,7475,1940,9/21/2021,,,,
165,Montgomery County,"$460,000 ",Ranch/Rambler,3,1,,2,1,Yes,11780,1951,9/21/2021,,,,
166,Montgomery County,"$460,000 ",Cape Cod,4,2,,2,2,Yes,8874,1955,9/21/2021,,,,
167,Montgomery County,"$460,000 ",Colonial,4,2,1,2,,Yes,4861,1986,9/21/2021,,,,
168,Montgomery County,"$460,000 ",Split Foyer,4,2,,2,,Yes,4950,1985,7/23/2021,,,,
169,Howard County,"$463,000 ",Raised Ranch/Rambler,4,2,,2,1,Yes,20037,1956,9/21/2021,,,,
170,Montgomery County,"$464,900 ",Cape Cod,4,2,,2,,Yes,10241,1946,9/21/2021,,,,
171,Montgomery County,"$465,000 ",Ranch/Rambler,4,2,,2,,Yes,8190,1952,9/21/2021,,,,
172,Montgomery County,"$465,000 ",Ranch/Rambler,5,3,0,2,,Yes,6300,1955,9/21/2021,,,,
173,Baltimore County,"$465,000 ",Tudor,3,2,,3,2,Yes,15000,1929,9/21/2021,,,,
174,Montgomery County,"$469,000 ",Raised Ranch/Rambler,3,2,,2,,Yes,10939,1952,9/21/2021,,,,
175,Montgomery County,"$469,000 ",Cape Cod,3,2,,2,1,No,6985,1952,7/23/2021,,,,
176,Montgomery County,"$469,990 ",Ranch/Rambler,4,2,,2,1,No,6106,1958,9/21/2021,,,,
177,Howard County,"$470,000 ",Ranch/Rambler,3,1,1,1,,No,24567,1955,9/21/2021,,,,
178,Carroll County,"$470,000 ",Traditional,3,2,,2,,No,20000,1966,9/21/2021,,,,
179,Montgomery County,"$475,000 ",Ranch/Rambler,3,2,,2,1,Yes,10800,1956,9/21/2021,,,,
180,Prince George's County,"$475,000 ",Ranch/Rambler,3,2,1,2,,Yes,40401,1959,9/21/2021,,,,
181,Howard County,"$475,000 ",Colonial,4,2,1,2,,Yes,14723,1977,9/21/2021,,,,
182,Carroll County,"$475,000 ",Colonial,4,2,1,3,1,Yes,9801,1993,9/21/2021,,,,
183,Montgomery County,"$475,000 ",Raised Ranch/Rambler,4,2,0,2,1,Yes,8389,1953,9/21/2021,,,,
184,Montgomery County,"$475,000 ",Ranch/Rambler,4,3,,2,1,Yes,10725,1965,9/21/2021,,,,
185,Anne Arundel County,"$475,000 ",Colonial,3,2,2,3,1,Yes,4943,1998,9/21/2021,,,,
186,Montgomery County,"$475,000 ",Split Level,3,2,1,3,1,Yes,14176,1965,9/21/2021,,,,
187,Howard County,"$475,000 ",Cape Cod,4,2,1,3,1,Yes,30927.6,1951,6/30/2021,,,,
188,Montgomery County,"$479,000 ",Colonial,4,2,1,3,1,Yes,29787,1966,9/21/2021,,,,
189,Montgomery County,"$479,000 ",Cape Cod,3,2,,3,,Yes,55756,1935,9/21/2021,,,,
190,Howard County,"$479,900 ",Ranch/Rambler,3,2,0,2,1,Yes,10802,1953,9/21/2021,,,,
191,Carroll County,"$479,900 ",Ranch/Rambler,4,3,0,2,1,Yes,17859,1967,9/21/2021,,,,
192,Montgomery County,"$479,900 ",Split Level,4,2,1,4,2,Yes,7970,1958,9/21/2021,,,,
193,Howard County,"$479,900 ",Colonial,4,3,,3,,Yes,54014,1942,9/21/2021,,,,
194,Montgomery County,"$480,000 ",Other,4,2,,2,,Yes,8869,1953,9/21/2021,,,,
195,Montgomery County,"$480,000 ",Ranch/Rambler,5,2,,2,,Yes,6238,1955,9/21/2021,,,,
196,Montgomery County,"$480,000 ",Cape Cod,4,2,0,3,,Yes,6318,1951,9/21/2021,,,,
197,Howard County,"$480,000 ",Split Level,3,2,1,2,1,Yes,6229,1991,9/21/2021,,,,
198,Howard County,"$480,000 ","Colonial, Traditional",4,2,1,3,1,Yes,11573,1972,9/21/2021,,,,
199,Anne Arundel County,"$480,000 ",Colonial,3,2,1,3,1,Yes,7834,1999,7/26/2021,,,,
200,Prince George's County,"$480,000 ",Split Level,5,3,,4,1,Yes,22869,1977,7/20/2021,,,,
201,Montgomery County,"$481,000 ",Ranch/Rambler,4,2,0,2,,Yes,7396,1952,7/21/2021,,,,
202,Howard County,"$485,000 ",Bi-Level,4,2,1,2,,Yes,14501,1991,9/21/2021,,,,
203,Howard County,"$485,000 ","Bi-Level, Split Level",3,2,,2.5,1,Yes,22999,1960,9/21/2021,,,,
204,Montgomery County,"$485,000 ",Colonial,4,3,1,3,,Yes,8012,1982,9/21/2021,,,,
205,Montgomery County,"$485,000 ",Cape Cod,5,3,,3,1,Yes,8657,1951,7/16/2021,,,,
206,Montgomery County,"$485,000 ",Colonial,4,3,1,3,1,Yes,8661,1987,8/2/2021,,,,
207,Prince George's County,"$489,000 ",Colonial,4,2,1,3,1,Yes,9668,1980,6/16/2021,,,,
208,Howard County,"$489,900 ",Split Foyer,3,2,1,2,1,Yes,29010,1967,9/21/2021,,,,
209,Montgomery County,"$489,900 ",Colonial,3,3,1,3,1,Yes,4010,1988,7/16/2021,,,,
210,Montgomery County,"$495,000 ",Split Foyer,4,2,1,2,,Yes,8017,1962,9/21/2021,,,,
211,Montgomery County,"$495,000 ",Cape Cod,4,3,1,3,1,Yes,5437,1985,9/21/2021,,,,
212,Prince George's County,"$495,000 ",Ranch/Rambler,5,3,,2,1,Yes,15841,1968,9/21/2021,,,,
213,Howard County,"$495,000 ",Ranch/Rambler,4,3,,2,1,Yes,19994,1962,9/21/2021,,,,
214,Howard County,"$495,000 ",Colonial,5,2,1,3,1,Yes,10038,1978,9/21/2021,,,,
215,Montgomery County,"$495,900 ",Split Level,4,4,,3,1,Yes,21936,1965,9/21/2021,,,,
216,Montgomery County,"$499,000 ",Ranch/Rambler,4,2,,2,1,Yes,5900,1953,9/21/2021,,,,
217,Howard County,"$499,000 ","Colonial, Farmhouse/National Folk, Post & Beam",3,2,1,3,,Yes,43996,1800,9/21/2021,,,,
218,Montgomery County,"$499,900 ",Ranch/Rambler,3,1,,2,,Yes,10757,1954,9/21/2021,,,,
219,Montgomery County,"$499,900 ",Colonial,5,2,,3,1,Yes,7250,1950,9/21/2021,,,,
220,Montgomery County,"$499,900 ",Ranch/Rambler,3,2,1,2,1,Yes,10128,1970,7/14/2021,,,,
221,Howard County,"$499,900 ",Split Level,5,3,,2,1,Yes,15115,1970,7/28/2021,,,,
222,Montgomery County,"$499,900 ",Split Level,4,2,,4,,Yes,6737,1955,6/30/2021,,,,
223,Montgomery County,"$499,900 ",Ranch/Rambler,4,2,,2,,Yes,6944,1953,7/20/2021,,,,
224,Howard County,"$499,999 ",Cape Cod,3,4,,2.5,1,Yes,42392,1947,9/21/2021,,,,
225,Anne Arundel County,"$499,999 ",Colonial,4,2,1,3,1,Yes,7150,1991,9/21/2021,,,,
226,Montgomery County,"$500,000 ",Split Level,3,2,,3,,Yes,6966,1961,9/21/2021,,,,
227,Montgomery County,"$500,000 ",Ranch/Rambler,4,2,,2,,Yes,8498,1953,9/21/2021,,,,
228,Montgomery County,"$500,000 ",Colonial,3,2,1,3,,Yes,2000,1972,9/21/2021,,,,
